id,title,titleHa,category,lga,year,status,agency,cost,location,indexPage,evidencePage,pdfPage,documentedInReport,verification
202,"National Housing Project, Gombe State","National Housing Project, Gombe State",Public Infrastructure & Services,Statewide / Unspecified,,Documented in source index,,,,190,190,220,True,Report documented — independent verification not yet added
203,"Road Projects Commissioned, Gombe State","Road Projects Commissioned, Gombe State",Public Infrastructure & Services,Statewide / Unspecified,,Documented in source index,,,,191,191,221,True,Report documented — independent verification not yet added
204,"Distribution of 8,228 Bags of Assorted Food Items","Distribution of 8,228 Bags of Assorted Food Items",Economic Support & Welfare,Statewide / Unspecified,,Documented in source index,,,,197,197,227,True,Report documented — independent verification not yet added
205,Facilitation for the Deployment of Fire Fighting trucks in Gombe,Facilitation for the Deployment of Fire Fighting trucks in Gombe,Public Infrastructure & Services,Statewide / Unspecified,,Documented in source index,,,,199,199,229,True,Report documented — independent verification not yet added
206,NNPC Hospital and Diagnostics Centre,NNPC Hospital and Diagnostics Centre,Health,Statewide / Unspecified,,Documented in source index,,,,200,200,230,True,Report documented — independent verification not yet added
207,Microsoft Emerging Technology Training,Microsoft Emerging Technology Training,Digital Skills & Literacy,Statewide / Unspecified,,Documented in source index,,,,202,202,232,True,Report documented — independent verification not yet added
208,Huawei Training and Academies,Huawei Training and Academies,Digital Skills & Literacy,Statewide / Unspecified,,Documented in source index,,,,203,203,233,True,Report documented — independent verification not yet added
209,KOICA Grant,KOICA Grant,"Policy, Partnerships & Other",Statewide / Unspecified,,Documented in source index,,,,203,203,233,True,Report documented — independent verification not yet added
210,"30,000 Nigerian Citizens Trained on Blockchain Technology","30,000 Nigerian Citizens Trained on Blockchain Technology","Policy, Partnerships & Other",Statewide / Unspecified,,Documented in source index,,,,204,204,234,True,Report documented — independent verification not yet added
211,Installation of Solar Streetlights at Kasuwar Tike Gombe,Girke Fitilun Tituna Masu Amfani da Hasken Rana at Kasuwar Tike Gombe,Public Infrastructure & Services,Statewide / Unspecified,,Documented in source index,,,,204,204,234,True,Report documented — independent verification not yet added
212,Installation of Solar Streetlights at Kasuwar Kumo,Girke Fitilun Tituna Masu Amfani da Hasken Rana at Kasuwar Kumo,Public Infrastructure & Services,Akko,,Documented in source index,,,,205,205,235,True,Report documented — independent verification not yet added
213,Installation of Solar Streetlights at Kasuwar Kaltungo,Girke Fitilun Tituna Masu Amfani da Hasken Rana at Kasuwar Kaltungo,Public Infrastructure & Services,Kaltungo,,Documented in source index,,,,205,205,235,True,Report documented — independent verification not yet added
214,Installation of Solar Streetlights at Kasuwar Malam Sidi—Ten (10) solar poles installed.,Girke Fitilun Tituna Masu Amfani da Hasken Rana at Kasuwar Malam Sidi—Ten (10) solar poles installed.,Public Infrastructure & Services,Kwami,,Documented in source index,,,,205,205,235,True,Report documented — independent verification not yet added
215,Installation of Solar Streetlights at Kwami District Head Mosque,Girke Fitilun Tituna Masu Amfani da Hasken Rana at Kwami District Head Mosque,Public Infrastructure & Services,Kwami,,Documented in source index,,,,205,205,235,True,Report documented — independent verification not yet added
216,Installation of Solar Streetlights at Izala Bolari Mosque,Girke Fitilun Tituna Masu Amfani da Hasken Rana at Izala Bolari Mosque,Public Infrastructure & Services,Gombe,,Documented in source index,,,,205,205,235,True,Report documented — independent verification not yet added
217,Installation of Solar Streetlights at Izala Jos Mosque,Girke Fitilun Tituna Masu Amfani da Hasken Rana at Izala Jos Mosque,Public Infrastructure & Services,Statewide / Unspecified,,Documented in source index,,,,205,205,235,True,Report documented — independent verification not yet added
218,Installation of Solar Streetlights at BubaShango.,Girke Fitilun Tituna Masu Amfani da Hasken Rana at BubaShango.,Public Infrastructure & Services,Statewide / Unspecified,,Documented in source index,,,,205,205,235,True,Report documented — independent verification not yet added
219,Installation of Solar Streetlights at Near Khams Salawat Masjid,Girke Fitilun Tituna Masu Amfani da Hasken Rana at Near Khams Salawat Masjid,Public Infrastructure & Services,Statewide / Unspecified,,Documented in source index,,,,205,205,235,True,Report documented — independent verification not yet added
220,Installation of Solar Streetlights at Kaltungo Central Market,Girke Fitilun Tituna Masu Amfani da Hasken Rana at Kaltungo Central Market,Public Infrastructure & Services,Kaltungo,,Documented in source index,,,,206,206,236,True,Report documented — independent verification not yet added
221,Installation of Solar Streetlights at Tiken Pantami,Girke Fitilun Tituna Masu Amfani da Hasken Rana at Tiken Pantami,Public Infrastructure & Services,Gombe,,Documented in source index,,,,206,206,236,True,Report documented — independent verification not yet added
222,Installation of Solar Streetlights at Tiken T/Dukku,Girke Fitilun Tituna Masu Amfani da Hasken Rana at Tiken T/Dukku,Public Infrastructure & Services,Dukku,,Documented in source index,,,,206,206,236,True,Report documented — independent verification not yet added
223,Installation of Solar Streetlights at Tiken Jami'al,Girke Fitilun Tituna Masu Amfani da Hasken Rana at Tiken Jami'al,Public Infrastructure & Services,Statewide / Unspecified,,Documented in source index,,,,206,206,236,True,Report documented — independent verification not yet added
224,Installation of Solar Streetlights at Tiken BCJ,Girke Fitilun Tituna Masu Amfani da Hasken Rana at Tiken BCJ,Public Infrastructure & Services,Statewide / Unspecified,,Documented in source index,,,,206,206,236,True,Report documented — independent verification not yet added
225,Installation of Solar Streetlights at Miyetti Masjid,Girke Fitilun Tituna Masu Amfani da Hasken Rana at Miyetti Masjid,Public Infrastructure & Services,Statewide / Unspecified,,Documented in source index,,,,206,206,236,True,Report documented — independent verification not yet added
226,Installation of Solar Streetlights at Makarantar Shehu Manzo,Girke Fitilun Tituna Masu Amfani da Hasken Rana at Makarantar Shehu Manzo,Public Infrastructure & Services,Statewide / Unspecified,,Documented in source index,,,,206,206,236,True,Report documented — independent verification not yet added
227,"Installation of Solar Streetlights at School for Higher Islamic Studies, Pantami, JIBWIS.","Girke Fitilun Tituna Masu Amfani da Hasken Rana at School for Higher Islamic Studies, Pantami, JIBWIS.",Public Infrastructure & Services,Gombe,,Documented in source index,,,,206,206,236,True,Report documented — independent verification not yet added
228,Installation of Solar Streetlights at Markaz Science Secondary School,Girke Fitilun Tituna Masu Amfani da Hasken Rana at Markaz Science Secondary School,Public Infrastructure & Services,Statewide / Unspecified,,Documented in source index,,,,206,206,236,True,Report documented — independent verification not yet added
229,Installation of Solar Streetlights at Tsangayar Mal. Ali Pantami,Girke Fitilun Tituna Masu Amfani da Hasken Rana at Tsangayar Mal. Ali Pantami,Public Infrastructure & Services,Gombe,,Documented in source index,,,,206,206,236,True,Report documented — independent verification not yet added
230,Installation of Solar Streetlights at Tsangayar Mal. Ibrahim Hammadu Kafi,Girke Fitilun Tituna Masu Amfani da Hasken Rana at Tsangayar Mal. Ibrahim Hammadu Kafi,Public Infrastructure & Services,Statewide / Unspecified,,Documented in source index,,,,206,206,236,True,Report documented — independent verification not yet added
231,Medical Outreach (In Honour ofProf.Pantami),Medical Outreach (In Honour ofProf.Pantami),Health,Gombe,,Documented in source index,,,,206,206,236,True,Report documented — independent verification not yet added
232,NIRSALand COVID-19 Loans Facilitated to Gombe State,NIRSALand COVID-19 Loans Facilitated to Gombe State,Economic Support & Welfare,Statewide / Unspecified,,Documented in source index,,,,211,211,241,True,Report documented — independent verification not yet added
233,N-Power to Gombe State,N-Power to Gombe State,Jobs & Empowerment,Statewide / Unspecified,,Documented in source index,,,,214,214,244,True,Report documented — independent verification not yet added
234,"Donation of Another 110 Laptop Computers “ for the Federal Teaching Hospital, Gombe","Donation of Another 110 Laptop Computers “ for the Federal Teaching Hospital, Gombe",Education & Devices,Gombe,,Documented in source index,,,,215,215,245,True,Report documented — independent verification not yet added
235,Employment of over 100 People as Casual Workers Again from Gombe State,Employment of over 100 People as Casual Workers Again from Gombe State,Jobs & Empowerment,Statewide / Unspecified,,Documented in source index,,,,215,215,245,True,Report documented — independent verification not yet added
236,"Fountain College of Health Science & Technology, Gombe State","Fountain College of Health Science & Technology, Gombe State",Health,Gombe,,Documented in source index,,,,215,215,245,True,Report documented — independent verification not yet added
237,"Fountain College of Health Science & Technology, Gombe State","Fountain College of Health Science & Technology, Gombe State",Health,Gombe,,Documented in source index,,,,216,216,246,True,Report documented — independent verification not yet added
238,Established and commission a computer based center (CBT) in Gombe State,Established and commission a computer based center (CBT) in Gombe State,Digital Centres & Innovation,Statewide / Unspecified,,Documented in source index,,,,216,216,246,True,Report documented — independent verification not yet added
239,Successfully constituted and inaugurated the boards of Newly established NIPOST Logistics and Transport Company LTD.,Successfully constituted and inaugurated the boards of Newly established NIPOST Logistics and Transport Company LTD.,Public Infrastructure & Services,Statewide / Unspecified,,Documented in source index,,,,217,217,247,True,Report documented — independent verification not yet added
240,The implementation of new operation tariffs/license for Courier Operators in Nigeria,The implementation of new operation tariffs/license for Courier Operators in Nigeria,"Policy, Partnerships & Other",Statewide / Unspecified,,Documented in source index,,,,217,217,247,True,Report documented — independent verification not yet added
241,"The Sponsorship for Gombe State indigens to attend Global ICT Events in the Middle East, Europe, and America.","The Sponsorship for Gombe State indigens to attend Global ICT Events in the Middle East, Europe, and America.","Policy, Partnerships & Other",Statewide / Unspecified,,Documented in source index,,,,217,217,247,True,Report documented — independent verification not yet added
242,"Donation of another 100 laptop computers, 100 computer bags, and 100 e-Cards by Professor Isa Ali Ibrahim Pantami to the Federal Teaching Hospital, Gombe to the Electronic System earlier deployed for the hospital.","Donation of another 100 laptop computers, 100 computer bags, and 100 e-Cards by Professor Isa Ali Ibrahim Pantami to the Federal Teaching Hospital, Gombe to the Electronic System earlier deployed for the hospital.",Education & Devices,Gombe,,Documented in source index,,,,217,217,247,True,Report documented — independent verification not yet added
